id,area,density
,Академический,18736.02
,Алексеевский,15196.79
,Алтуфьевский,17664.0
,Арбат,16838.39
,Аэропорт,17313.1
,Бабушкинский,17415.38
,Басманный,13159.62
,Беговой,7692.27
,Бескудниковский,23930.61
,Бибирево,24814.42
,Бирюлёво Восточное,10439.47
,Бирюлёво Западное,10387.9
,Богородское,10557.71
,Братеево,14392.53
,Бутырский,14089.88
,Вешняки,11392.07
,Внуково,1458.44
,Войковский,10619.06
,Восточное Дегунино,26223.87
,Восточное Измайлово,20246.23
,Восточный,4341.08
,Выхино-Жулебино,15016.43
,Гагаринский,14651.27
,Головинский,11550.73
,Гольяново,10854.9
,городской округ Троицк,3730.8
,городской округ Щербинка,6697.64
,Даниловский,7414.13
,Дмитровский,12786.97
,Донской,9045.2
,Дорогомилово,9416.98
,Замоскворечье,13573.38
,Западное Дегунино,11057.37
,Зюзино,23224.4
,Зябликово,30387.21
,Ивановское,12518.65
,Измайлово,7004.0
,Капотня,4015.38
,Коньково,21756.41
,Коптево,18939.41
,Косино-Ухтомский,5421.13
,Котловка,16703.3
,Красносельский,9785.08
,Крылатское,6859.88
,Крюково,9318.02
,Кузьминки,17874.85
,Кунцево,9143.9
,Куркино,4216.71
,Левобережный,6743.88
,Лефортово,10386.53
,Лианозово,14825.04
,Ломоносовский,26346.71
,Лосиноостровский,14958.3
,Люблино,9876.28
,Марфино,11850.51
,Марьина Роща,14394.66
,Марьино,21318.89
,Матушкино,9212.56
,Метрогородок,1410.19
,Мещанский,13212.61
,Митино,15223.05
,Можайский,12837.47
,Молжаниновский,454.68
,Москворечье-Сабурово,8657.2
,Нагатино-Садовники,10139.05
,Нагатинский Затон,12216.94
,Нагорный,15063.84
,Некрасовка,11339.61
,Нижегородский,5971.99
,Новогиреево,22108.31
,Новокосино,29901.67
,Ново-Переделкино,14380.54
,Обручевский,14012.44
,Орехово-Борисово Северное,17200.26
,Орехово-Борисово Южное,21284.29
,Останкинский,5068.06
,Отрадное,18189.69
,Очаково-Матвеевское,7405.36
,Перово,14468.96
,Печатники,4832.14
,Покровское-Стрешнево,4519.3
,поселение Внуковское,289.49
,поселение Вороновское,43.0
,поселение Воскресенское,392.25
,поселение Десёновское,319.13
,поселение Киевский,245.45
,поселение Клёновское,62.04
,поселение Кокошкино,1988.77
,поселение Краснопахорское,55.45
,поселение Марушкинское,138.12
,поселение Михайлово-Ярцевское,84.72
,поселение Московский,1409.46
,"поселение ""Мосрентген""",
,поселение Новофёдоровское,43.67
,поселение Первомайское,70.44
,поселение Роговское,19.37
,поселение Рязановское,493.5
,поселение Сосенское,314.43
,поселение Филимонковское,191.47
,поселение Щаповское,98.97
,Преображенское,16045.81
,Пресненский,10894.19
,Проспект Вернадского,13676.77
,Раменки,7504.15
,Ростокино,11131.92
,Рязанский,16753.93
,Савёлки,4200.12
,Савёловский,21920.0
,Свиблово,14061.0
,Северное Бутово,10466.7
,Северное Измайлово,20848.57
,Северное Медведково,22517.84
,Северное Тушино,17581.38
,Северный,3397.47
,Силино,3844.9
,Сокол,15954.03
,Соколиная Гора,11617.98
,Сокольники,5949.81
,Солнцево,11053.76
,Старое Крюково,8097.9
,Строгино,9499.58
,Таганский,15099.0
,Тверской,10659.83
,Текстильщики,17705.24
,Тёплый Стан,17906.4
,Тимирязевский,8019.27
,Тропарёво-Никулино,10956.34
,Филёвский Парк,9640.33
,Фили-Давыдково,16509.63
,Хамовники,10790.28
,Ховрино,15330.72
,Хорошёво-Мнёвники,10033.24
,Хорошёвский,7199.09
,Царицыно,15298.1
,Черёмушки,19845.47
,Чертаново Северное,21204.81
,Чертаново Центральное,17898.47
,Чертаново Южное,15998.61
,Щукино,14339.66
,Южное Бутово,8142.8
,Южное Медведково,22041.49
,Южное Тушино,13725.19
,Южнопортовый,16418.54
,Якиманка,5747.71
,Ярославский,12247.68
,Ясенево,7010.13
