Богородское,108 757,51 307,57 450,47.2,52.8
Вешняки,119 492,54 731,64 761,45.8,54.2
Восточное,12 822,6 019,6 803,46.9,53.1
Восточное Измайлово,74 577,33 975,40 602,45.6,54.4
Гольяново,165 299,71 541,93 758,43.3,56.7
Ивановское,126 198,57 037,69 161,45.2,54.8
Измайлово,107 158,50 741,56 417,47.4,52.6
Косино-Ухтомское,88 817,40 705,48 112,45.8,54.2
Метрогородок,39 126,17 504,21 622,44.7,55.3
Новогиреево,100 386,46 171,54 215,46.0,54.0
Новокосино,106 668,49 861,56 807,46.7,53.3
Перово,137 362,61 173,76 189,44.5,55.5
Преображенское,88 453,42 003,46 450,47.5,52.5
Северное Измайлово,85 063,38 642,46 421,45.4,54.6
Соколиная Гора,92 999,42 586,50 413,45.8,54.2
Сокольники,59 769,27 769,32 000,46.5,53.5
Внуково,27 528,13 308,14 220,48.3,51.7
Дорогомилово,78 008,37 282,40 726,47.8,52.2
Крылатское,82 959,38 713,44 246,46.7,53.3
Кунцево,152 829,68 193,84 636,44.6,55.4
Можайское,145 699,67 721,77 978,46.5,53.5
Ново-Переделкино,123 113,58 409,64 704,47.4,52.6
Очаково-Матвеевское,130 515,62 627,67 888,48.0,52.0
Проспект Вернадского,66 864,31 525,35 339,47.1,52.9
Раменки,150 707,70 112,80 595,46.5,53.5
Солнцево,125 645,57 835,67 810,46.0,54.0
Тропарево-Никулино,127 940,58 796,69 144,46.0,54.0
Филевский Парк,111 703,49 321,62 382,44.2,55.8
Фили-Давыдково,113 643,50 571,63 072,44.5,55.5
Крюково,104 185,51 203,52 982,49.1,50.9
Матушкино,42 471,19 486,22 985,45.9,54.1
Савелки,37 470,17 330,20 140,46.3,53.7
Силино,40 848,18 527,22 321,45.4,54.6
Старое Крюково,31 801,15 035,16 766,47.3,52.7
"Поселение ""Мосрентген""",21 390,11 255,10 135,52.6,47.4
Поселение Внуковское ,59 580,26 741,32 839,44.9,55.1
Поселение Воскресенское,19 160,8 898,10 262,46.4,53.6
Поселение Десёновское ,38 788,18 178,20 610,46.9,53.1
Поселение Кокошкино,21 309,11 363,9 946,53.3,46.7
Поселение Марушкинское ,15 216,7 143,8 073,46.9,53.1
Поселение Московский,101 050,49 298,51 752,48.8,51.2
Поселение Рязановское ,28 810,12 832,15 978,44.5,55.5
Поселение Сосенское ,93 474,41 436,52 038,44.3,55.7
Поселение Филимонковское ,14 833,6 959,7 874,46.9,53.1
Поселение Щербинка,56 531,26 303,30 228,46.5,53.5
Аэропорт,79 757,36 583,43 174,45.9,54.1
Беговое,42 381,19 687,22 694,46.5,53.5
Бескудниковское,78 598,36 864,41 734,46.9,53.1
Войковское,71 241,31 988,39 253,44.9,55.1
Восточное Дегунино,101 275,45 648,55 627,45.1,54.9
Головинское,103 419,48 280,55 139,46.7,53.3
Дмитровское,102 459,47 342,55 117,46.2,53.8
Западное Дегунино,84 496,39 580,44 916,46.8,53.2
Коптево,102 758,46 784,55 974,45.5,54.5
Левобережное,55 941,24 922,31 019,44.6,55.4
Молжаниновское,12 359,5 804,6 555,47.0,53.0
Савеловское,59 636,28 846,30 790,48.4,51.6
Сокол,59 185,27 646,31 539,46.7,53.3
Тимирязевское,82 844,36 513,46 331,44.1,55.9
Ховрино,92 287,41 424,50 863,44.9,55.1
Хорошевское,75 452,35 095,40 357,46.5,53.5
Алексеевское,78 119,37 429,40 690,47.9,52.1
Алтуфьевское,55 671,26 287,29 384,47.2,52.8
Бабушкинское,67 099,30 605,36 494,45.6,54.4
Бибирево,160 565,74 900,85 665,46.6,53.4
Бутырское,72 421,33 318,39 103,46.0,54.0
Лианозово,85 402,39 217,46 185,45.9,54.1
Лосиноостровское,82 733,37 053,45 680,44.8,55.2
Марфино,36 407,16 444,19 963,45.2,54.8
Марьина Роща,63 272,28 799,34 473,45.5,54.5
Останкинское,65 308,31 433,33 875,48.1,51.9
Отрадное,187 498,86 704,100 794,46.2,53.8
Ростокино,51 974,25 064,26 910,48.2,51.8
Свиблово,60 919,28 894,32 025,47.4,52.6
Северное,54 305,25 734,28 571,47.4,52.6
Северное Медведково,129 750,57 643,72 107,44.4,55.6
Южное Медведково,86 048,40 348,45 700,46.9,53.1
Ярославское,100 177,47 545,52 632,47.5,52.5
Куркино,31 975,14 783,17 192,46.2,53.8
Митино,198 872,92 920,105 952,46.7,53.3
Покровское-Стрешнево,66 050,33 306,32 744,50.4,49.6
Северное Тушино,171 292,81 171,90 121,47.4,52.6
Строгино,162 932,77 523,85 409,47.6,52.4
Хорошево-Мневники,180 431,85 204,95 227,47.2,52.8
Щукино,108 481,51 877,56 604,47.8,52.2
Южное Тушино,111 116,51 486,59 630,46.3,53.7
Поселение Вороновское ,14 485,6 848,7 637,47.3,52.7
Поселение Киевский,11 289,5 277,6 012,46.7,53.3
Поселение Кленовское ,5 289,2 457,2 832,46.5,53.5
Поселение Краснопахорское ,12 698,5 903,6 795,46.5,53.5
Поселение Михайлово-Ярцевское ,9 171,4 326,4 845,47.2,52.8
Поселение Новофедоровское ,17 781,8 665,9 116,48.7,51.3
Поселение Первомайское ,20 336,9 377,10 959,46.1,53.9
Поселение Роговское ,6 207,2 834,3 373,45.7,54.3
Троицкий округ,65 043,31 022,34 021,47.7,52.3
Поселение Щаповское ,12 104,5 643,6 461,46.6,53.4
Арбат,35 675,17 545,18 130,49.2,50.8
Басманное,107 533,51 663,55 870,48.0,52.0
Замоскворечье,55 132,26 321,28 811,47.7,52.3
Красносельское,45 719,22 836,22 883,49.9,50.1
Мещанское,56 818,27 264,29 554,48.0,52.0
Пресненское,125 873,59 153,66 720,47.0,53.0
Таганское,135 659,60 112,75 547,44.3,55.7
Тверское,76 387,38 841,37 546,50.8,49.2
Хамовники,105 113,49 736,55 377,47.3,52.7
Якиманка,28 349,13 520,14 829,47.7,52.3
Выхино-Жулебино,241 109,112 152,128 957,46.5,53.5
Капотня,32 808,15 787,17 021,48.1,51.9
Кузьминки,140 966,64 381,76 585,45.7,54.3
Лефортово,102 844,50 956,51 888,49.5,50.5
Люблино,179 247,84 272,94 975,47.0,53.0
Марьино,267 668,124 123,143 545,46.4,53.6
Некрасовка,104 862,47 742,57 120,45.5,54.5
Нижегородское,49 588,23 493,26 095,47.4,52.6
Печатники,90 852,42 302,48 550,46.6,53.4
Рязанское,108 199,50 197,58 002,46.4,53.6
Текстильщики,102 088,48 087,54 001,47.1,52.9
Южнопортовое,72 026,33 818,38 208,47.0,53.0
Академическое,114 025,50 383,63 642,44.2,55.8
Гагаринское,81 021,36 879,44 142,45.5,54.5
Зюзино,124 093,57 406,66 687,46.3,53.7
Коньково,151 754,71 085,80 669,46.8,53.2
Котловка,64 481,29 775,34 706,46.2,53.8
Ломоносовское,88 335,40 151,48 184,45.5,54.5
Обручевское,90 212,42 819,47 393,47.5,52.5
Северное Бутово,96 407,45 491,50 916,47.2,52.8
Теплый Стан,133 135,62 241,70 894,46.8,53.2
Черемушки,107 303,51 895,55 408,48.4,51.6
Южное Бутово,204 779,92 856,111 923,45.3,54.7
Ясенево,176 358,81 529,94 829,46.2,53.8
Бирюлево Восточное,156 438,70 828,85 610,45.3,54.7
Бирюлево Западное,85 883,39 593,46 290,46.1,53.9
Братеево,102 794,45 974,56 820,44.7,55.3
Даниловское,104 850,51 369,53 481,49.0,51.0
Донское,52 861,23 792,29 069,45.0,55.0
Зябликово,133 707,61 516,72 191,46.0,54.0
Москворечье-Сабурово,89 130,47 229,41 901,53.0,47.0
Нагатино-Садовники,83 046,39 051,43 995,47.0,53.0
Нагатинский Затон,120 624,55 215,65 409,45.8,54.2
Нагорное,78 098,35 205,42 893,45.1,54.9
Орехово-Борисово Северное,127 828,59 205,68 623,46.3,53.7
Орехово-Борисово Южное,146 688,67 493,79 195,46.0,54.0
Царицыно,123 922,54 342,69 580,43.9,56.1
Чертаново Северное,111 115,49 759,61 356,44.8,55.2
Чертаново Центральное,113 235,52 293,60 942,46.2,53.8
Чертаново Южное,159 152,73 857,85 295,46.4,53.6
